postal_code,topic,sentiment_label,combined_top_keywords
85701,4,Positive,"{'brewery': 208, 'whiskey': 126, 'vodka': 121, 'scott': 86, 'congress': 89, 'downtown tucson': 87, 'stout': 67, 'ale': 72, 'rum': 53, 'craft cocktail': 44, 'independent': 23, 'knowledgable': 24, 'german': 19, 'historic': 19, 'pale': 15, 'industrial': 19, 'belgian': 10, 'old fashioned': 14, 'small cozy': 12, 'drunk': 12}"
85701,2,Positive,"{'charro': 14, 'el charro': 244, 'seca': 216, 'carne seca': 207, 'mole': 139, 'salsa bar': 128, 'pastor': 92, 'al pastor': 77, 'chip salsa bar': 57, 'el charro cafe': 37, 'refried': 29, 'historic': 22, 'old mexican': 21, 'tropical': 13, 'delicious mexican': 13, 'mexican fresh': 12, 'real mexican': 12, 'traditional mexican': 11, 'nice mexican': 10}"
85704,3,Positive,"{'pho': 177, 'ikkyu': 123, 'lee': 130, 'spicy tuna': 125, 'banh': 79, 'miso soup': 109, 'sashimi': 111, 'banh mi': 75, 'vietnamese': 103, 'volcano': 83, 'nigiri': 23, 'mongolian': 21, 'broken': 15, 'japanese great': 11, 'edamame': 10, 'vietnamese vietnamese': 9, 'authentic vietnamese': 8, 'authentic japanese': 9, 'mein': 11}"
85704,7,Positive,"{'pepperoni': 60, 'italian food': 45, 'mozzarella': 51, 'pesto': 48, 'caesar': 48, 'great pizza': 29, 'bruschetta': 31, 'caesar salad': 39, 'pizza salad': 28, 'pizzeria': 26, 'great italian': 11, 'italian great': 9, 'olive': 10, 'rosemary': 9, 'gluten free': 9, 'reverse happy': 5, 'reverse': 5, 'italian delicious': 5, 'favorite italian': 4, 'quickly quickly': 5}"
85705,4,Positive,"{'4th ave': 125, 'brewery': 100, 'tap bottle': 66, 'plush': 60, 'cider': 75, 'dive bar': 72, 'che': 65, 'pool table': 50, 'sky': 57, 'karaoke': 54, 'drunk': 30, '4th great': 23, 'great 4th': 19, 'great live': 16, 'live great': 13, 'pale': 11, 'pretentious': 14, 'great knowledgeable': 11, 'industrial': 13, 'mezcal': 9}"
85705,2,Positive,"{'mole': 88, 'pastor': 84, 'maria': 60, 'al pastor': 68, 'salsa bar': 59, 'asada tacos': 54, 'macho': 20, 'taqueria': 46, 'authentic mexican': 52, 'cabeza': 43, 'poached': 10, 'mexican fresh': 13, 'salsas': 12, 'refried': 13, 'real mexican': 12, 'purple': 12, 'legit great': 8, 'mexican amazing': 11, 'super hard': 8}"
85706,2,Positive,"{'salsa bar': 64, 'pastor': 38, 'asada tacos': 30, 'caramelo': 26, 'carne asada tacos': 27, 'authentic mexican': 26, 'asada burrito': 25, 'cabeza': 22, 'carne asada burrito': 24, 'al pastor': 23, 'delicious mexican': 7, 'mexican pretty': 6, 'real mexican': 6, 'mexican reasonable': 5, 'authentic mexican reasonable': 4, 'great authentic mexican': 5, 'mexican fresh': 5, 'mexican authentic': 5, 'mexican large': 4, 'great mexican great': 4}"
85706,3,Positive,"{'hibachi': 34, 'pho': 30, 'teriyaki': 31, 'bento': 24, 'sashimi': 23, 'sachiko': 17, 'takoyaki': 15, 'tokyo': 16, 'california roll': 18, 'crab puff': 18, 'japanese japanese': 9, 'mongolian': 11, 'angry': 5, 'chinese great': 6, 'mein': 6, 'little generous': 3, 'friendly real': 3, 'extremely highly': 3, 'sweet amazing': 3, 'sizzling': 3}"
85707,2,Positive,"{'martin': 60, 'mole': 46, 'chicken mole': 22, 'comida': 12, '4th ave': 10, 'bean cheese': 8, 'byob': 7, 'asada tacos': 8, 'carne asada tacos': 8, 'chip bean': 6, 'mexican fresh': 3, 'great 4th': 2, 'mexican fresh delicious': 2, 'amazing extra': 2, 'delicious fabulous': 2, 'mexican impressed': 2, 'artsy': 2, 'flavorful light': 2, 'cheap fresh': 2, 'excellent fantastic': 2}"
85707,5,Positive,"{'barista': 26, 'caffe': 17, 'latte': 21, 'coffee shop': 19, 'chai': 13, 'campus': 12, 'espresso': 10, 'mocha': 8, 'caffeine': 8, 'starbuck': 9, 'grad': 2, 'iced great': 2, 'friendly perfect': 2, 'great iced': 2, 'fresh roasted': 2, 'ugly': 2, 'certainly great': 2, 'friendly decent': 2, 'nice loud': 2, 'friendly free': 2}"
85710,2,Positive,"{'salsa bar': 109, 'salsa verde': 68, 'poco': 56, 'street corn': 53, 'new mexican': 48, 'table salsa': 42, 'loco': 43, 'new mexico': 45, 'hatch': 41, 'guadalajara': 32, 'refried': 32, 'serial': 10, 'mexican fresh': 11, 'mexican red': 10, 'delicious mexican': 10, 'fast mexican': 9, 'mexican green': 8, 'mexican happy': 7, 'silver': 6}"
85710,6,Positive,"{'benedict': 182, 'french toast': 108, 'hash': 115, 'biscuit': 113, 'hash brown': 87, 'omelette': 68, 'great breakfast': 51, 'breakfast spot': 32, 'favorite breakfast': 32, 'maple': 28, 'poached': 13, 'great bloody': 11, 'bloody great': 9, 'french great': 8, 'french amazing': 7, 'swiss': 7, 'pecan': 5, 'english': 6, 'belgian': 4, 'french french': 4}"
85711,2,Positive,"{'salsa bar': 236, 'table salsa': 50, 'guadalajara': 44, 'authentic mexican': 45, 'barbacoa': 40, 'enchiladas': 39, 'mole': 33, 'refried': 30, 'chicken fajita': 28, 'manchego': 21, 'rican': 10, 'mild hot': 12, 'delicious mexican': 12, 'fast mexican': 11, 'fresh mexican': 11, 'definitely mexican': 10, 'hot mild': 10, 'mexican fresh': 10, 'traditional mexican': 10}"
85711,3,Positive,"{'pho': 289, 'vietnamese': 84, 'pad thai': 105, 'korean bbq': 68, 'boba': 70, 'korean food': 50, 'saigon': 47, 'miss saigon': 44, 'teriyaki': 53, 'kimchi': 46, 'mongolian': 50, 'korean korean': 23, 'korean great': 13, 'mein': 14, 'korean nice': 10, 'miss': 10, 'great korean': 10, 'thai great': 9, 'chinese great': 10}"
85712,3,Positive,"{'dim sum': 181, 'miso soup': 215, 'bulgogi': 147, 'edamame': 19, 'korean bbq': 126, 'korean food': 100, 'sashimi': 131, 'kimchi': 111, 'nigiri': 34, 'kazoku': 69, 'korean korean': 46, 'japanese korean': 24, 'great korean': 23, 'korean great': 18, 'vietnamese': 26, 'mongolian': 26, 'favorite korean': 16, 'authentic chinese': 20}"
